# DELIBERATELY UNBOUND SYMBOLS -- the checked-in half of the bidirectional control in
# android/gate/boundverbledger_test.go.
#
# WHY IT EXISTS. A gomobile facade makes "exists" and "is used" independent BY CONSTRUCTION:
# the Go side compiles and tests green with no caller at all, because its callers are in a
# language the Go toolchain never sees. Six separate defects shipped that way in Phase B, each
# found later than the last, every one of them unit-tested and traced in a coverage artifact.
# The generalisable control is bidirectional: every bound verb is either CALLED from production
# Kotlin or LISTED here with a reason. A new verb is then uncallable-by-default loudly rather
# than silently.
#
# THIS IS NOT A LIST OF THINGS THAT DO NOT MATTER. Every App row below is traced to a screen
# element in mobile/screen_coverage.tsv, so each one is product surface somebody eventually
# needs; what each row records is the screen that does not exist yet on the minimal S18/S19
# surface. Two rows (IsRunning, Resize) are the exception and say so.
#
# WHAT THE CHECK CANNOT SEE, so this file is not read as a complete inventory of unreachable
# facade surface:
#
#   App.InstallWakeKey and App.InstallContentKey read as CALLED and are not. They are called
#   through the `CoreKeyCustody` interface (keys/Custody.kt), whose only implementation in the
#   repository is the test fixture `RecordingCore`. No production class implements it, so
#   `KeyCustodySession` -- the class holding ADR-007 B8's single deliberate Java -> Go key
#   crossing -- has no production caller either. Establishing that needs a type checker; the
#   check matches names. It is recorded here rather than left to be discovered a seventh time.
#
#   The INSTALL half is superseded rather than merely unwired (ADR-007 B35): PB-KEY-10 moved
#   epoch-key delivery entirely into Go, so the Kotlin side has no source for those bytes and a
#   wired adapter would have thrown on its first call. App.PurgeKeys is no longer in this
#   paragraph: it is called from `PhoneRuntime.lockContent`, reached from
#   `dev.swarm.phone.runtime.ContentLock` on every InvalidationEvent, and its recovery half
#   App.UnlockContent from `PhoneRuntime.unlockContent` -- both by direct call on the bound App,
#   which the name-matching check does see.
#
# THE LEDGER COVERS EVERY BOUND RECEIVER, not just `App`. It was hardcoded to the `App`
# receiver until 2026-07-26, and four bound methods lived in the blind spot that left --
# SessionList.Stale, JournalPage.Stale, JournalPage.NextCursor and UndeliveredList.Dropped, each
# a fact the facade goes to the trouble of carrying and the adapter dropped on the floor. All four
# are read by FacadeBridge now -- Dropped last, with the ledger it counts (agents-tracker-hxv) --
# and no bound receiver's method is left on this list.
#
# Columns: symbol <TAB> reason
# Symbols are namespaced: App.<Verb> and <Handle>.<Method> for a bound facade method,
# FacadeBridge.<method> for the one adapter between the screen models and the facade.
#
#symbol	reason
App.Paste	PB-INPUT-6's atomic paste -- a clipboard paste or an IME COMMIT as ONE event rather than a keystroke stream. The composer is derivation row 9's bar over an EditText and a Send control (agents-tracker-hxv landed it on the session detail), which is the coalesced keystroke path; nothing on it offers a paste action, and the IME-commit half is agents-tracker-76j.
App.ReleaseControl	The other half of App.TakeControl above, and it returns here where it started: it carried a row for most of Phase B reading "the surface can TAKE a lease and cannot give one back", was bound briefly by agents-tracker-nx44.6, and is unbound again by owner ruling R1 (2026-08-26) because there is no lease to give back. Nothing takes one.
App.TakeControl	Owner ruling R1 (2026-08-26) deleted take-control from the product, so the verb that acquired the lease has no caller and wants none. It is unbound for the same reason App.ReleaseControl already was, one step earlier in the same story: composer_send and turn_interrupt take NO LEASE at any layer -- not in the gateway action arm, not in handleComposerSend, not in skeleton.composerSend -- so the button un-greyed a text field for a verb that never needed it, and the sentence above it told the reader to press it. On the terminal-fallback route it was never drawn and would have unlocked nothing (TerminalInputSink has no production implementation); on the status-card route it succeeded and changed nothing visible. PB-INPUT-2 is AMENDED rather than ignored: its lease-lifecycle rule still binds any future raw-input plane, and its "visibly confirmed" intent moved to the composer own shut state, which names which of four reasons it cannot send. Fenced by android/gate/r1_takecontrolgone_test.go.
App.Resize	Nothing on this surface can change the terminal geometry, and after ADR-009-structured-chat-interaction there is no geometry to change: the phone draws a structured transcript and no grid, so there are no cols/rows a user could choose and no viewport for a resize to describe. It was already unbound while the peek was a monospace TextView printing the daemon-rendered grid byte for byte; what changed is that the screen it was waiting for is now one the design has retired rather than one nobody has built.
App.IsRunning	Legitimately unbound: it is a redundant read. App.Start is idempotent and PhoneSurface.converge decides from LifecycleConvergence plus App.StateSummary, so asking whether the app is running would be a second source for a fact the plan already settles.
App.PendingOpCount	PB-SYNC-2's aggregate. This surface claims outcomes BY OPERATION ID (FacadeBridge.launchOutcome, used by SettingsSurface), which is the requirement's own discipline; a count is for a screen that shows in-flight work, and there is none.
App.Presence	PB-APP-5's machine presence, and the one row here that is a DECISION rather than a missing screen. It is a blocking relay round-trip, and this surface's render() is driven by an event stream -- so calling it per redraw would issue a relay RPC per journal record. THE ANSWER LANDED, AND IT IS NOT THIS VERB (bead agents-tracker-xtj): the cadence now lives in Go, on the relay goroutine, and a screen reads App.MachinePresence, which is a cached O(1) read. This verb stays exported and stays unbound for one reason -- PB-NET-7's connection-leak test uses it as its real request/reply exchange, to retire a USED connection rather than an idle one, so turning it into the cached read would have left that test green and testing nothing. Kotlin must never call it.
App.PairedDeviceName	The name this phone gave itself at enrolment (mobile/screen_coverage.tsv's paired_device). It was unbound until the Machines pane could render it (bead agents-tracker-xtj); agents-tracker-nx44.3 DELETED that pane rather than wiring it, so this row is no longer a screen that has not been built -- it is a screen that has been withdrawn. What the pane's `Paired devices` section offered was a name and a Revoke, and the settings PAIRING section offers the same revoke over the same registration, one row above the CONNECTION section, so a second row naming this handset would be a label beside a control that is already there. The verb stays exported because it is the one place this side's enrolment constant is spelled: a screen that ever needs the name must read it here rather than type it, which is ADR-007 B135's rule and the whole reason it was made a verb.
App.TerminalWatch	The request that makes the machine push terminal frames for one session. ADR-009 (2) is explicit that "no phone surface issues a watch", and (7) is why it matters rather than being tidiness: the machine-to-phone budget is <= 8 appends/s across journal AND terminal combined for one target, and with no snapshot frames appended the transcript inherits the whole of what the peek used to spend. Unbound as a DECISION, like App.Presence's row, and not as a screen nobody has built yet -- Kotlin must not call it again without amending that ADR. Pairs with App.TerminalUnwatch and App.Peek.
App.TerminalUnwatch	The close half of App.TerminalWatch, unbound with it and for one reason only: there is nothing left to close. It existed so the peek plane did not leak per-session server render work for every session a user ever looked at; a phone that opens no watch leaks none. It stays exported because the verb pairs with a watch this app may never issue but the protocol still defines.
